[	0.0000000000000000e+00	3.1415926535897931e+00	0.0000000000000000e+00	0.0000000000000000e+00	]
[	2.0000000000000000e-02	3.1327716240006351e+00	-8.8053321886316493e-01	4.7815033830129501e+00	]
[	4.0000000000000001e-02	3.1098506508968948e+00	-1.4074859958897412e+00	7.7448616137288724e+00	]
[	5.9999999999999998e-02	3.0829214720698825e+00	-1.2806446307134209e+00	7.3207398256238827e+00	]
[	8.0000000000000002e-02	3.0591256515681589e+00	-1.0947134155210005e+00	6.7236795873194737e+00	]
[	1.0000000000000001e-01	3.0396986484103312e+00	-8.4454449747463245e-01	5.9040460055439876e+00	]
[	1.2000000000000000e-01	3.0255533889675763e+00	-5.6747920438868915e-01	5.0355897028228478e+00	]
[	1.4000000000000001e-01	3.0172204627025350e+00	-2.6434127149447517e-01	4.0907891142441368e+00	]
[	1.6000000000000000e-01	3.0151795834191177e+00	6.0613664925170216e-02	3.0578772653777868e+00	]
[	1.7999999999999999e-01	3.0199846720083832e+00	4.1904670787713688e-01	1.8362171157131351e+00	]
[	2.0000000000000001e-01	3.0316809061016090e+00	7.4850930191818854e-01	7.2372887293236854e-01	]
[	2.2000000000000000e-01	3.0499902324324788e+00	1.0791817221558258e+00	-4.8143202820573422e-01	]
[	2.3999999999999999e-01	3.0746555620436831e+00	1.3829758157676326e+00	-1.6650041452153561e+00	]
[	2.6000000000000001e-01	3.1048890276779320e+00	1.6349978836112073e+00	-2.7271189610043862e+00	]
[	2.8000000000000003e-01	3.1401055178922448e+00	1.8803854523570906e+00	-3.9422624554609773e+00	]
[	3.0000000000000004e-01	3.1793904782326270e+00	2.0411209114666771e+00	-4.9152860850992761e+00	]
[	3.2000000000000001e-01	3.2213107529850853e+00	2.1434596755548743e+00	-5.8071808714144213e+00	]
[	3.3999999999999997e-01	3.2646530370638347e+00	2.1830955775641376e+00	-6.6057821487067088e+00	]
[	3.5999999999999999e-01	3.3079420786136087e+00	2.1381858921935053e+00	-7.1959547558196801e+00	]
[	3.8000000000000000e-01	3.3497169510395604e+00	2.0319976167772360e+00	-7.6973610724374950e+00	]
[	4.0000000000000002e-01	3.3885471913800518e+00	1.8442949826893478e+00	-7.9862105669164318e+00	]
[	4.2000000000000004e-01	3.4230933153106893e+00	1.6043836440520225e+00	-8.1985418258973120e+00	]
[	4.4000000000000000e-01	3.4519689363231620e+00	1.2782638551746435e+00	-8.1211932590953886e+00	]
[	4.5999999999999996e-01	3.4739135011118356e+00	9.1248787747370264e-01	-7.9694421923142782e+00	]
[	4.7999999999999998e-01	3.4878817978240209e+00	4.8199816351676217e-01	-7.5662143862048552e+00	]
[	5.0000000000000000e-01	3.4930614174988301e+00	3.5097742078829493e-02	-7.1263896755684639e+00	]
[	5.2000000000000002e-01	3.4888683765339099e+00	-4.5370088149882903e-01	-6.4629124429915432e+00	]
[	5.4000000000000004e-01	3.4747367814378083e+00	-9.5708844339315413e-01	-5.6708263249517712e+00	]
[	5.6000000000000005e-01	3.4506310745759423e+00	-1.4494125093032770e+00	-4.8340702231048072e+00	]
[	5.7999999999999996e-01	3.4167099338220965e+00	-1.9369218131937498e+00	-3.8635834174885737e+00	]
[	6.0000000000000009e-01	3.3730725461963624e+00	-2.4193005200033073e+00	-2.7051477778400512e+00	]
[	6.2000000000000000e-01	3.3203462914465396e+00	-2.8441401243722502e+00	-1.5865749374311502e+00	]
[	6.4000000000000001e-01	3.2595014092277173e+00	-3.2296408231147948e+00	-3.5772607079327107e-01	]
[	6.6000000000000003e-01	3.1916756696175508e+00	-3.5409072760776761e+00	8.3908521942783154e-01	]
[	6.7999999999999994e-01	3.1183741711669861e+00	-3.7762009489557000e+00	2.0324224452433333e+00	]
[	6.9999999999999996e-01	3.0412194436779778e+00	-3.9255696220379463e+00	3.1957909085844607e+00	]
[	7.1999999999999997e-01	2.9620643972438301e+00	-3.9759885966273716e+00	4.2735475116634190e+00	]
[	7.3999999999999999e-01	2.8829473280512872e+00	-3.9219777847945796e+00	5.2366915320466605e+00	]
[	7.6000000000000001e-01	2.8058768643207244e+00	-3.7719572323268271e+00	6.1170828107990545e+00	]
[	7.8000000000000003e-01	2.7328488488608351e+00	-3.5187414804941404e+00	6.8492225148218857e+00	]
[	8.0000000000000004e-01	2.6659257589110772e+00	-3.1628069855226730e+00	7.3974016242265623e+00	]
[	8.1999999999999995e-01	2.6070779463859823e+00	-2.7128130107420376e+00	7.7605338979636489e+00	]
[	8.4000000000000008e-01	2.5579561492076475e+00	-2.1919593173738381e+00	8.0094504311305315e+00	]
[	8.6000000000000010e-01	2.5197340855831900e+00	-1.6246465070191161e+00	8.2181679690701213e+00	]
[	8.8000000000000000e-01	2.4939039190257000e+00	-9.5467102292539407e-01	8.0228462598504215e+00	]
[	8.9999999999999991e-01	2.4814096223504341e+00	-2.9299493028370960e-01	7.9608441168252888e+00	]
[	9.1999999999999993e-01	2.4828547365676261e+00	4.3730323858697812e-01	7.5533253033189993e+00	]
[	9.4000000000000006e-01	2.4988182621796278e+00	1.1567905237395908e+00	7.1643575252707645e+00	]
[	9.5999999999999996e-01	2.5293034782284018e+00	1.8873423525582356e+00	6.6079572124149459e+00	]
[	9.7999999999999998e-01	2.5744368511841187e+00	2.6193237730197678e+00	5.8647017624518281e+00	]
[	1.0000000000000000e+00	2.6339406217807722e+00	3.3219618787696019e+00	5.0246081941133571e+00	]
[	1.0200000000000000e+00	2.7070091742577569e+00	3.9733126643692001e+00	4.1265402068568653e+00	]
[	1.0400000000000000e+00	2.7928479063746017e+00	4.5964482639771491e+00	2.9642805428478414e+00	]
[	1.0600000000000001e+00	2.8902600667648457e+00	5.1282138958958887e+00	1.7981018718875736e+00	]
[	1.0800000000000001e+00	2.9972785020010413e+00	5.5549633575038868e+00	6.2754261483208074e-01	]
[	1.0999999999999999e+00	3.1120378617090698e+00	5.9006347195736675e+00	-7.3837568151896604e-01	]
[	1.1200000000000001e+00	3.2322008187319544e+00	6.0942945552677381e+00	-1.9605635871037885e+00	]
[	1.1400000000000001e+00	3.3548928510512237e+00	6.1533342270325706e+00	-3.1531343065062285e+00	]
[	1.1599999999999999e+00	3.4773842962450656e+00	6.0748369373436777e+00	-4.2939034149431290e+00	]
[	1.1799999999999999e+00	3.5954065602265759e+00	5.7080124127888645e+00	-4.5323734492333054e+00	]
[	1.2000000000000002e+00	3.7063021309941755e+00	5.3643235594042915e+00	-5.4898302515901980e+00	]
[	1.2200000000000000e+00	3.8098181034621841e+00	4.9722523352855319e+00	-6.7090226736287892e+00	]
[	1.2400000000000000e+00	3.9034632398793461e+00	4.3796886631772622e+00	-7.2922727658001403e+00	]
[	1.2600000000000000e+00	3.9841208859745603e+00	3.6761083461299058e+00	-7.6406720140129556e+00	]
[	1.2800000000000000e+00	4.0501296134607401e+00	2.9172482438870286e+00	-7.9732298157103179e+00	]
[	1.3000000000000000e+00	4.1000705846077086e+00	2.0715678885689583e+00	-8.0434100194496505e+00	]
[	1.3200000000000001e+00	4.1327582418159272e+00	1.1939374985833067e+00	-8.0788517906827071e+00	]
[	1.3399999999999999e+00	4.1475246490716104e+00	2.8128248161045294e-01	-8.0005270794865879e+00	]
[	1.3599999999999999e+00	4.1438166769932163e+00	-6.5172601551000942e-01	-7.8293945804569889e+00	]
[	1.3800000000000001e+00	4.1214476843922396e+00	-1.5829960277535551e+00	-7.6268199890500625e+00	]
[	1.3999999999999999e+00	4.0801514141555799e+00	-2.5424180777282084e+00	-7.1689274630709976e+00	]
[	1.4199999999999999e+00	4.0199669372574762e+00	-3.4694526582285348e+00	-6.7118445398089213e+00	]
[	1.4399999999999999e+00	3.9414176195719848e+00	-4.3761517001561980e+00	-6.1076037344300422e+00	]
[	1.4600000000000000e+00	3.8450627301500546e+00	-5.2468245654323411e+00	-5.3447243878574762e+00	]
[	1.4800000000000000e+00	3.7317127314181686e+00	-6.0720944897424109e+00	-4.3641453612222936e+00	]
[	1.5000000000000000e+00	3.6026326734168488e+00	-6.8160586649671444e+00	-3.2403794648397133e+00	]
[	1.5200000000000000e+00	3.4597406738376848e+00	-7.4496368578115124e+00	-2.0094675133792848e+00	]
[	1.5400000000000000e+00	3.3055476854677694e+00	-7.9430347963600179e+00	-7.2168995894587040e-01	]
[	1.5600000000000001e+00	3.1428852964443856e+00	-8.2943756946477691e+00	6.9990768902877265e-01	]
[	1.5799999999999998e+00	2.9749093413208669e+00	-8.4734498481281424e+00	2.1436420872730961e+00	]
[	1.6000000000000001e+00	2.8053405944890666e+00	-8.4542192337864694e+00	3.4751094654374293e+00	]
[	1.6200000000000001e+00	2.6371775925643339e+00	-8.3347815658719231e+00	5.1838461009231258e+00	]
[	1.6399999999999999e+00	2.4734158842622724e+00	-8.0171363722513025e+00	6.6594660935507957e+00	]
