time	radps
0,89641	4,92183
0,89994	4,92183
0,90317	4,92183
0,90630	4,95674
0,90945	4,90438
0,91290	4,97419
0,91603	5,07891
0,91910	5,02655
0,92208	5,11381
0,92507	5,04400
0,92805	5,07891
0,93102	5,02655
0,93417	5,07891
0,93725	5,07891
0,94022	5,02655
0,94343	5,09636
0,94692	5,16617
0,94990	5,16617
0,95302	5,20108
0,95604	5,16617
0,95915	5,11381
0,96233	5,20108
0,96545	5,27089
0,96849	5,37561
0,97155	5,27089
0,97511	5,28835
0,97827	5,27089
0,98132	5,27089
0,98430	5,30580
0,98741	5,28835
0,99056	5,35816
0,99362	5,46288
0,99664	5,41052
1,00014	5,46288
1,00328	5,46288
1,00634	5,42797
1,01000	5,49779
1,01344	5,56760
1,01641	5,55015
1,01964	5,49779
1,02269	5,49779
1,02587	5,49779
1,02885	5,48033
1,03196	5,60251
1,03501	5,61996
1,03838	5,68977
1,04165	5,75959
1,04525	5,61996
1,04832	5,67232
1,05145	5,67232
1,05447	5,74213
1,05764	5,74213
1,06072	5,74213
1,06378	5,74213
1,06711	5,67232
1,07023	5,74213
1,07385	5,72468
1,07712	5,79449
1,08037	5,81195
1,08339	5,75959
1,08645	5,84685
1,08965	5,75959
1,09267	5,93412
1,09608	5,95157
1,09907	6,03884
1,10256	5,86431
1,10597	5,93412
1,10920	5,91667
1,11240	5,84685
1,11541	6,10865
1,11853	6,05629
1,12164	6,19592
1,12468	6,05629
1,12771	6,00393
1,13128	5,93412
1,13447	6,17847
1,13804	6,12611
1,14113	6,14356
1,14440	6,17847
1,14746	6,05629
1,15058	6,19592
1,15375	6,10865
1,15679	6,17847
1,15982	6,24828
1,16283	6,31809
1,16598	6,30064
1,16985	6,19592
1,17311	6,33555
1,17642	6,38791
1,17960	6,42281
1,18266	6,42281
1,18576	6,33555
1,18876	6,31809
1,19187	6,44026
1,19487	6,45772
1,19818	6,45772
1,20137	6,49262
1,20463	6,51008
1,20770	6,45772
1,21089	6,49262
1,21402	6,61480
1,21726	6,52753
1,22047	6,52753
1,22357	6,45772
1,22704	6,37045
1,23016	6,57989
1,23341	6,64970
1,23649	6,63225
1,23956	6,64970
1,24262	6,61480
1,24565	6,80678
1,24938	6,64970
1,25260	6,75442
1,25558	6,84169
1,25870	6,64970
1,26204	6,71952
1,26519	6,70206
1,26818	6,91150
1,27127	7,01622
1,27433	6,89405
1,27751	6,96386
1,28053	6,91150
1,28367	7,15585
1,28676	6,99877
1,28983	7,03368
1,29332	7,03368
1,29652	7,08604
1,29964	6,89405
1,30266	7,01622
1,30567	7,20821
1,30881	7,13840
1,31191	7,01622
1,31487	7,15585
1,31816	7,15585
1,32156	7,22566
1,32518	7,15585
1,32882	7,08604
1,33199	7,06858
1,33509	7,10349
1,33815	7,34784
1,34140	7,33038
1,34492	7,22566
1,34837	7,20821
1,35141	7,48746
1,35491	7,48746
1,35830	7,29548
1,36205	7,22566
1,36525	7,36529
1,36832	7,64454
1,37140	7,41765
1,37451	7,45256
1,37812	7,64454
1,38188	7,47001
1,38499	7,59218
1,38840	7,66200
1,39200	7,60964
1,39514	7,48746
1,39831	7,60964
1,40140	7,71436
1,40456	7,78417
1,40768	7,64454
1,41071	7,55728
1,41377	7,80162
1,41697	7,80162
1,42065	7,78417
1,42382	7,73181
1,42692	7,73181
1,43001	7,60964
1,43311	7,83653
1,43627	7,87143
1,43939	7,78417
1,44265	7,66200
1,44569	7,94125
1,44875	8,04597
1,45183	7,87143
1,45483	7,97615
1,45794	7,74926
1,46122	7,94125
1,46433	7,92379
1,46762	8,22050
1,47083	8,04597
1,47399	7,92379
1,47711	8,13323
1,48080	8,25541
1,48381	8,04597
1,48685	8,09833
1,48994	8,09833
1,49292	8,13323
1,49613	8,23795
1,49918	8,30777
1,50243	8,25541
1,50628	8,13323
1,50942	8,22050
1,51280	8,18559
1,51597	8,25541
1,51914	8,29031
1,52220	8,25541
1,52532	8,32522
1,52836	8,30777
1,53160	8,11578
1,53487	8,48230
1,53798	8,49975
