[	0.0000000000000000e+00	4.9999999395554501e-01	]
[	2.0000000000000000e-02	3.0987724545170797e-01	]
[	4.0000000000000001e-02	-4.4350254407910662e-02	]
[	5.9999999999999998e-02	-6.2434362506963083e-02	]
[	8.0000000000000002e-02	-8.5708772556648896e-02	]
[	1.0000000000000001e-01	-9.0814145955410111e-02	]
[	1.2000000000000000e-01	-9.8797438951277919e-02	]
[	1.4000000000000001e-01	-1.0801119999717639e-01	]
[	1.6000000000000000e-01	-1.2774853817276935e-01	]
[	1.7999999999999999e-01	-1.1633247330581077e-01	]
[	2.0000000000000001e-01	-1.2602321801659158e-01	]
[	2.2000000000000000e-01	-1.2376568705423835e-01	]
[	2.3999999999999999e-01	-1.1106494316437675e-01	]
[	2.6000000000000001e-01	-1.2706709401104041e-01	]
[	2.8000000000000003e-01	-1.0174871164290318e-01	]
[	3.0000000000000004e-01	-9.3265099288825093e-02	]
[	3.2000000000000001e-01	-8.3509432459592581e-02	]
[	3.3999999999999997e-01	-6.1714125527455220e-02	]
[	3.5999999999999999e-01	-5.2431868221371886e-02	]
[	3.8000000000000000e-01	-3.0204882005651568e-02	]
[	4.0000000000000002e-01	-2.2203399161900089e-02	]
[	4.2000000000000004e-01	8.0883102730466370e-03	]
[	4.4000000000000000e-01	1.5868551456611760e-02	]
[	4.5999999999999996e-01	4.2165378640886084e-02	]
[	4.7999999999999998e-01	4.5992303057019325e-02	]
[	5.0000000000000000e-01	6.9379562389657118e-02	]
[	5.2000000000000002e-01	8.2828144729367448e-02	]
[	5.4000000000000004e-01	8.7499267981719558e-02	]
[	5.6000000000000005e-01	1.0148343691776117e-01	]
[	5.7999999999999996e-01	1.2113717515706643e-01	]
[	6.0000000000000009e-01	1.1696873737039343e-01	]
[	6.2000000000000000e-01	1.2850025957820241e-01	]
[	6.4000000000000001e-01	1.2515010237207180e-01	]
[	6.6000000000000003e-01	1.2478682077575011e-01	]
[	6.7999999999999994e-01	1.2165299865836339e-01	]
